,img_n,AI Program,Human,Undecided
0,1,10.0,10.0,1.0
1,2,4.0,14.0,1.0
2,3,7.0,9.0,1.0
3,4,11.0,7.0,2.0
4,5,3.0,14.0,2.0
5,6,8.0,12.0,0.0
6,7,5.0,10.0,3.0
7,8,14.0,5.0,2.0
8,9,9.0,9.0,2.0
9,10,5.0,9.0,3.0
10,11,5.0,10.0,4.0
11,12,10.0,8.0,0.0
12,13,5.0,10.0,1.0
13,14,8.0,12.0,0.0
14,15,8.0,9.0,1.0
15,16,5.0,7.0,1.0
16,17,3.0,7.0,1.0
17,18,6.0,9.0,1.0
18,19,10.0,9.0,0.0
19,20,2.0,7.0,5.0
20,21,7.0,5.0,3.0
21,22,8.0,6.0,4.0
22,23,5.0,8.0,1.0
23,24,8.0,5.0,2.0
24,25,6.0,5.0,0.0
25,26,3.0,12.0,1.0
26,27,3.0,13.0,0.0
27,28,6.0,8.0,1.0
28,29,4.0,13.0,0.0
29,30,1.0,6.0,1.0
30,31,7.0,7.0,0.0
31,32,7.0,8.0,0.0
32,33,4.0,4.0,0.0
33,34,7.0,3.0,2.0
34,35,5.0,11.0,0.0
35,36,1.0,5.0,2.0
36,37,11.0,3.0,2.0
37,38,4.0,9.0,2.0
38,39,11.0,6.0,3.0
39,40,8.0,4.0,1.0
40,41,7.0,8.0,2.0
41,42,7.0,11.0,1.0
42,43,6.0,9.0,1.0
43,44,10.0,4.0,2.0
44,45,7.0,2.0,5.0
45,46,4.0,7.0,2.0
46,47,7.0,9.0,1.0
47,48,4.0,8.0,2.0
48,49,11.0,4.0,2.0
49,50,0.0,11.0,0.0
50,51,12.0,2.0,2.0
51,52,6.0,4.0,0.0
52,53,7.0,3.0,0.0
53,54,4.0,12.0,2.0
54,55,8.0,2.0,3.0
55,56,9.0,4.0,1.0
56,57,5.0,7.0,0.0
57,58,3.0,11.0,1.0
