"","X","age","agency1","agency2","agency3","agency4","agency5","agency6","agency7","artKnowledge","attCheck","controlQ1","controlQ2","controlQ3","controlQ4","controlQ5","controlQ6","csKnowledge","education","gender","img0","img0Eval","img1","img1Eval","img2","img2Eval","img3","img3Eval","img4","img4Eval","img5","img5Eval","img6","img6Eval","img7","img7Eval","img8","img8Eval","img9","img9Eval","income","patiency1","patiency2","patiency3","patiency4","patiency5","patiency6","patiency7","politics","previousStudy","prolificId","race","sessionId","studyId","times","treatment","attCheckEnd","consentEnd","demographicsEnd","introEnd","study0End","studyEnd","openEnded","agency1V","agency2V","agency3V","agency4V","agency5V","agency6V","agency7V","agencyV","patiency1V","patiency2V","patiency3V","patiency4V","patiency5V","patiency6V","patiency7V","patiencyV","img10EvalV","img1EvalV","img7EvalV","img5EvalV","img8EvalV","img6EvalV","img9EvalV","img2EvalV","img3EvalV","img4EvalV","evalV","control1V","control2V","control3V","control4V","control5V","control6V","control","ageV"
"1",0,1992,"Somewhat","Slightly","Somewhat","Slightly","Somewhat","Somewhat","Extremely",0,"Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree",1,"Bachelor's degree or lower","Female",10,1800,8,3100,2,800,4,300,7,3800,3,2800,1,6100,9,6500,5,3700,6,3000,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderately","Somewhat liberal","No","550bb70bfdf99b6853dab45e","Caucasian","605041f3ce0abead57a6aaeb","605012aa337705b7329e7998","{'attCheckEnd': 140668, 'consentEnd': 6429, 'demographicsEnd': 195233, 'introEnd': 18538, 'study0End': 59025, 'studyEnd': 118061}","post",140668,6429,195233,18538,59025,118061,"",2,1,2,1,2,2,4,1.66666666666667,0,0,0,0,0,0,3,0,1800,6100,3800,3700,3100,3000,6500,800,2800,300,3190,0,1,0,1,0,0,0.333333333333333,29
"2",1,1963,"Slightly","Slightly","Slightly","Moderately","Slightly","Somewhat","Moderately",0,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree",0,"Bachelor's degree or lower","Male",1,100,5,100,4,100,9,200,10,100,6,100,7,300,8,200,2,200,3,100,"More than $150,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat conservative","No","55d35a55da14d7000595331e","Caucasian","605031cfc926838110de5468","605012aa337705b7329e7998","{'attCheckEnd': 217742, 'consentEnd': 11005, 'demographicsEnd': 271959, 'introEnd': 29718, 'study0End': 67536, 'studyEnd': 200982}","pre",217742,11005,271959,29718,67536,200982,"They were ok.  None of the paintings were the type of artwork that I would purchase for my home.  ",1,1,1,3,1,2,3,1.5,0,0,0,0,0,0,0,0,100,100,300,100,200,100,200,200,100,100,150,0,0,0,2,0,0,0.333333333333333,58
"3",2,1989,"Moderately","Slightly","Not at all","Moderately","Somewhat","Not at all","Somewhat",0,"Strongly Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree",0,"Some college","Male",10,100,7,2000,8,8000,3,5200,4,100,2,4000,9,9000,5,2000,6,700,1,2200,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5642af61942576000566efda","African American","605040c90b6e3e0c842c0a50","605012aa337705b7329e7998","{'attCheckEnd': 810882, 'consentEnd': 685083, 'demographicsEnd': 854817, 'introEnd': 704738, 'study0End': 739170, 'studyEnd': 802259}","pre",810882,685083,854817,704738,739170,802259,"",3,1,0,3,2,0,2,1.5,0,0,0,0,0,0,0,0,100,2200,2000,2000,8000,700,9000,4000,5200,100,3330,1,2,1,1,1,0,1,32
"4",3,1996,"Moderately","Somewhat","Extremely","Moderately","Not at all","Somewhat","Extremely",1,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",1,"Bachelor's degree or lower","Male",7,3500,3,100,4,1300,9,100,1,300,6,100,8,4200,10,2500,2,0,5,100,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Liberal","No","56a38b45dbe850000cfd50c3","Asian","60502cb9590ac2ccb12d6f07","605012aa337705b7329e7998","{'attCheckEnd': 142780, 'consentEnd': 11904, 'demographicsEnd': 202852, 'introEnd': 24894, 'study0End': 62933, 'studyEnd': 135579}","pre",142780,11904,202852,24894,62933,135579,"All the images seem pretty good, definitely looks like professional level art. I was expecting more distortions and blurriness but the images are pretty clean. However, the images seem pretty bland and not very unique.",3,2,4,3,0,2,4,2.33333333333333,0,0,0,0,0,0,2,0,2500,300,3500,100,4200,100,100,0,100,1300,1220,0,0,0,0,0,0,0,25
"5",5,1965,"Extremely","Not at all","Slightly","Somewhat","Slightly","Not at all","Slightly",1,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree",0,"Bachelor's degree or lower","Male",5,1000,2,100,4,100,8,700,10,100,7,100,1,200,6,300,3,100,9,200,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Conservative","No","57093e7d0fb8a5000fe45a3a","Caucasian","60501a82a1b629176b50f85e","605012aa337705b7329e7998","{'attCheckEnd': 258567, 'consentEnd': 27946, 'demographicsEnd': 327461, 'introEnd': 60044, 'study0End': 126474, 'studyEnd': 245782}","pre",258567,27946,327461,60044,126474,245782,"They had no depth to them. Nowhere near the quality of an actual artist painting.",4,0,1,2,1,0,1,1.33333333333333,0,0,0,0,0,0,0,0,100,200,100,1000,700,300,200,100,100,100,290,0,0,0,3,2,1,1,56
"6",6,1993,"Moderately","Moderately","Slightly","Moderately","Somewhat","Somewhat","Moderately",0,"Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree",0,"Bachelor's degree or lower","Male",8,400,4,8300,5,7900,6,6600,7,2400,2,500,9,700,1,8700,3,7600,10,7900,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Moderate","No","57681886236f930001a69b9a","Caucasian","60504219387a81d8280266d6","605012aa337705b7329e7998","{'attCheckEnd': 133793, 'consentEnd': 2826, 'demographicsEnd': 178405, 'introEnd': 18349, 'study0End': 88222, 'studyEnd': 124391}","post",133793,2826,178405,18349,88222,124391,"i thought most were nice. With art, you never really know with price because some simple pieces go fo big money, especially if made by a well known artist.",3,3,1,3,2,2,3,2.33333333333333,0,0,0,0,0,0,2,0,7900,8700,2400,7900,400,6600,700,500,7600,8300,5100,3,1,4,3,3,3,2.83333333333333,28
"7",7,1986,"Not at all","Slightly","Slightly","Slightly","Not at all","Slightly","Moderately",0,"Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",0,"Associate degree or lower","Male",7,1000,4,3300,5,7300,2,3500,9,8000,10,9200,6,7000,8,2500,3,4800,1,5600,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Liberal","No","578d3224900cc80001d2e704","Caucasian","60502fc9ed6da41977abbdd8","605012aa337705b7329e7998","{'attCheckEnd': 89739, 'consentEnd': 3751, 'demographicsEnd': 123357, 'introEnd': 15502, 'study0End': 58957, 'studyEnd': 82388}","post",89739,3751,123357,15502,58957,82388,"I thought they were very different and I liked that they were so verse in nature, some were abstract, others portraits or landscapes.",0,1,1,1,0,1,3,0.666666666666667,0,0,0,0,0,0,2,0,9200,5600,1000,7300,2500,7000,8000,3500,4800,3300,5220,1,2,1,1,2,2,1.5,35
"8",8,1999,"Slightly","Slightly","Slightly","Slightly","Not at all","Slightly","Slightly",0,"Strongly Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",0,"Some college","Female",1,300,10,600,2,400,7,100,6,100,8,600,5,100,4,0,9,100,3,0,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","596c36966956b40001c59d4e","Caucasian","6050407a9cfaccc59f18ba3b","605012aa337705b7329e7998","{'attCheckEnd': 128614, 'consentEnd': 6295, 'demographicsEnd': 205842, 'introEnd': 22798, 'study0End': 46502, 'studyEnd': 121640}","pre",128614,6295,205842,22798,46502,121640,"",1,1,1,1,0,1,1,0.833333333333333,0,0,0,0,0,0,0,0,600,300,100,100,600,100,100,400,0,0,230,1,3,2,1,1,1,1.5,22
"9",9,1998,"Moderately","Moderately","Somewhat","Extremely","Moderately","Moderately","Moderately",0,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",0,"Bachelor's degree or lower","Female",6,4600,3,2400,8,2100,2,1200,9,400,7,1700,5,1200,10,700,1,3100,4,5400,"$40,000-$59,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Moderate","No","599be3660ed7ae0001991db9","Asian","605041bc0e763d5b02fc54e3","605012aa337705b7329e7998","{'attCheckEnd': 126057, 'consentEnd': 8357, 'demographicsEnd': 172903, 'introEnd': 29453, 'study0End': 85482, 'studyEnd': 117899}","post",126057,8357,172903,29453,85482,117899,"I thought the images looked nice. They did remind me of old paintings.",3,3,2,4,3,3,3,3,0,0,0,0,0,0,2,0,700,3100,1700,1200,2100,4600,400,1200,2400,5400,2280,1,1,2,2,3,3,2,23
"10",10,1982,"Extremely","Extremely","Extremely","Extremely","Not at all","Extremely","Extremely",0,"Strongly Agree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree",0,"Bachelor's degree or lower","Male",7,5600,6,8000,1,7000,9,8000,3,8900,2,2500,5,10000,8,5200,10,9000,4,9400,"Prefer not to respond","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Moderate","No","59d662aa0c0c7100015b9af6","Asian","6050552a6d72b9a6b89e317e","605012aa337705b7329e7998","{'attCheckEnd': 179072, 'consentEnd': 27087, 'demographicsEnd': 236678, 'introEnd': 57169, 'study0End': 93869, 'studyEnd': 166714}","pre",179072,27087,236678,57169,93869,166714,"",4,4,4,4,0,4,4,3.33333333333333,0,0,0,0,0,0,2,0,9000,7000,5600,10000,5200,8000,8000,2500,8900,9400,7360,1,1,2,0,0,2,1,39
