"","X","age","agency1","agency2","agency3","agency4","agency5","agency6","agency7","artKnowledge","attCheck","controlQ1","controlQ2","controlQ3","controlQ4","controlQ5","controlQ6","csKnowledge","education","gender","img0","img0ChangedEval","img0FirstEval","img0LastEval","img1","img1ChangedEval","img1FirstEval","img1LastEval","img2","img2ChangedEval","img2FirstEval","img2LastEval","img3","img3ChangedEval","img3FirstEval","img3LastEval","img4","img4ChangedEval","img4FirstEval","img4LastEval","img5","img5ChangedEval","img5FirstEval","img5LastEval","img6","img6ChangedEval","img6FirstEval","img6LastEval","img7","img7ChangedEval","img7FirstEval","img7LastEval","img8","img8ChangedEval","img8FirstEval","img8LastEval","img9","img9ChangedEval","img9FirstEval","img9LastEval","income","moral1","moral2","moral3","moral4","moral5","moral6","patiency1","patiency2","patiency3","patiency4","patiency5","patiency6","patiency7","politics","previousStudy","priceTreatment","prolificId","race","sessionId","studyId","times","treatment","attCheckEnd","consentEnd","demographicsEnd","introEnd","study0End","study1End","study2End","studyEnd","openEnded","condition","agency1V","agency2V","agency3V","agency4V","agency5V","agency6V","agency7V","patiency1V","patiency2V","patiency3V","patiency4V","patiency5V","patiency6V","patiency7V","moral1V","moral2V","moral3V","moral4V","moral5V","moral6V","agencyV","patiencyV","moralV","artV","img0changeEvalTmp","img0initialEvalTmp","img0finalEvalTmp","img1changeEvalTmp","img1initialEvalTmp","img1finalEvalTmp","img2changeEvalTmp","img2initialEvalTmp","img2finalEvalTmp","img3changeEvalTmp","img3initialEvalTmp","img3finalEvalTmp","img4changeEvalTmp","img4initialEvalTmp","img4finalEvalTmp","img5changeEvalTmp","img5initialEvalTmp","img5finalEvalTmp","img6changeEvalTmp","img6initialEvalTmp","img6finalEvalTmp","img7changeEvalTmp","img7initialEvalTmp","img7finalEvalTmp","img8changeEvalTmp","img8initialEvalTmp","img8finalEvalTmp","img9changeEvalTmp","img9initialEvalTmp","img9finalEvalTmp","img8changeEvalV","img8initialEvalV","img8finalEvalV","img10changeEvalV","img10initialEvalV","img10finalEvalV","img3changeEvalV","img3initialEvalV","img3finalEvalV","img4changeEvalV","img4initialEvalV","img4finalEvalV","img5changeEvalV","img5initialEvalV","img5finalEvalV","img6changeEvalV","img6initialEvalV","img6finalEvalV","img1changeEvalV","img1initialEvalV","img1finalEvalV","img9changeEvalV","img9initialEvalV","img9finalEvalV","img7changeEvalV","img7initialEvalV","img7finalEvalV","img2changeEvalV","img2initialEvalV","img2finalEvalV","initEvalV","finalEvalV","changeEvalV","control1V","control2V","control3V","control4V","control5V","control6V","control","ageV"
"1",0,1993,"Slightly","Not at all","Slightly","Slightly","Not at all","Not at all","Extremely","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Yes","Bachelor's degree or lower","Female",8,"True",1000,3700,9,"True",2200,3300,6,"False",2200,6000,1,"True",4700,3300,7,"False",4700,1900,3,"False",4700,3000,5,"True",7000,4000,10,"False",7000,6000,2,"False",7000,1300,4,"False",7000,4000,"$80,000-$99,999","Not at all","Not at all","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","Max","53987712fdf99b68e3a45021","Asian","605a975aafb75e3143812725","605990fadf3c32e5e48028c8","{'attCheckEnd': 191582, 'consentEnd': 12356, 'demographicsEnd': 234044, 'introEnd': 31352, 'study0End': 138326, 'study1End': 152190, 'study2End': 171039, 'studyEnd': 184345}","post",191582,12356,234044,31352,138326,152190,171039,184345,"","Max",1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0.166666666666667,2,2700,1000,3700,1100,2200,3300,0,6000,6000,-1400,4700,3300,0,1900,1900,0,3000,3000,-3000,7000,4000,0,6000,6000,0,1300,1300,0,4000,4000,2700,1000,3700,0,6000,6000,0,3000,3000,0,4000,4000,-3000,7000,4000,0,6000,6000,-1400,4700,3300,1100,2200,3300,0,1900,1900,0,1300,1300,3710,3650,-60,0,0,0,0,0,0,0,28
"2",2,1995,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","No","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Yes","Bachelor's degree or lower","Male",10,"True",800,1600,7,"False",800,5500,8,"False",800,1200,5,"False",800,2200,3,"False",800,3500,4,"True",6900,1900,1,"True",4000,900,6,"False",4000,2200,9,"True",8400,2800,2,"False",8400,1200,"$80,000-$99,999","Not at all","Not at all","Somewhat","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","Mean","558a1a79fdf99b2d7699aa79","Asian","605ab8b5cf40f95af65f2216","605990fadf3c32e5e48028c8","{'attCheckEnd': 188150, 'consentEnd': 6178, 'demographicsEnd': 216791, 'introEnd': 35577, 'study0End': 66794, 'study1End': 83104, 'study2End': 97381, 'studyEnd': 184118}","pre",188150,6178,216791,35577,66794,83104,97381,184118,"","Pre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.333333333333333,0,800,800,1600,0,5500,5500,0,1200,1200,0,2200,2200,0,3500,3500,-5000,6900,1900,-3100,4000,900,0,2200,2200,-5600,8400,2800,0,1200,1200,0,1200,1200,800,800,1600,0,3500,3500,-5000,6900,1900,0,2200,2200,0,2200,2200,-3100,4000,900,-5600,8400,2800,0,5500,5500,0,1200,1200,3590,2300,-1290,0,0,0,0,0,0,0,26
"3",3,1982,"Somewhat","Not at all","Not at all","Somewhat","Not at all","Somewhat","Extremely","No","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","No","Bachelor's degree or lower","Female",3,"False",-1,6000,8,"False",-1,4600,2,"False",-1,4000,7,"False",-1,400,1,"False",-1,8200,4,"False",-1,5700,10,"False",-1,5000,5,"False",-1,5900,6,"False",-1,1600,9,"False",-1,700,"$20,000-$39,999","Not at all","Not at all","Moderately","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat conservative","No","Mean","55d10258a392570012ea105b","Caucasian","605ab7278511a836f639c292","605990fadf3c32e5e48028c8","{'attCheckEnd': 137434, 'consentEnd': 2899, 'demographicsEnd': 194644, 'introEnd': 19626, 'study0End': 88751, 'study1End': 103294, 'study2End': 117908, 'studyEnd': 128727}","post",137434,2899,194644,19626,88751,103294,117908,128727,"they remind me of the impressionists","Median",2,0,0,2,0,2,4,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0.5,2.5,0,6000,6000,0,4600,4600,0,4000,4000,0,400,400,0,8200,8200,0,5700,5700,0,5000,5000,0,5900,5900,0,1600,1600,0,700,700,0,4600,4600,0,5000,5000,0,6000,6000,0,5700,5700,0,5900,5900,0,1600,1600,0,8200,8200,0,700,700,0,400,400,0,4000,4000,4210,4210,0,3,0,4,4,0,0,1.83333333333333,39
"4",4,1986,"Slightly","Not at all","Not at all","Moderately","Not at all","Not at all","Extremely","No","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","No","Some college","Female",4,"False",-1,1500,8,"False",-1,500,1,"False",-1,2000,6,"False",-1,200,5,"False",-1,1400,7,"False",-1,100,10,"False",-1,2000,9,"False",-1,1000,2,"False",-1,600,3,"False",-1,1000,"Prefer not to respond","Not at all","Not at all","Moderately","Not at all","Somewhat","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Conservative","No","Mean","561576fd7ffc8a00128124e0","Caucasian","605ab82af1b939450c71e92b","605990fadf3c32e5e48028c8","{'attCheckEnd': 496672, 'consentEnd': 24819, 'demographicsEnd': 584508, 'introEnd': 57426, 'study0End': 312730, 'study1End': 424279, 'study2End': 457093, 'studyEnd': 484585}","post",496672,24819,584508,57426,312730,424279,457093,484585,"I find AI to be very interesting and a weird topic at the same time. It always reminds me of the Terminator movies! While it could be used for good, it could also be used for very bad things as well. How to keep it under control and also privacy concerns and such is a touchy subject... Anyway, thanks for the opportunity to participate in your research. I hope my answers are helpful to you!","Median",1,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,3,0,2,0,0.666666666666667,0,0.833333333333333,2.5,0,1500,1500,0,500,500,0,2000,2000,0,200,200,0,1400,1400,0,100,100,0,2000,2000,0,1000,1000,0,600,600,0,1000,1000,0,500,500,0,2000,2000,0,1000,1000,0,1500,1500,0,1400,1400,0,200,200,0,2000,2000,0,1000,1000,0,100,100,0,600,600,1030,1030,0,2,0,2,3,1,1,1.5,35
"5",6,1975,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","No","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","No","Some college","Male",5,"False",-1,2000,8,"False",-1,3000,4,"False",-1,1000,10,"False",-1,1500,9,"False",-1,3500,2,"False",-1,1500,7,"False",-1,500,6,"False",-1,1000,3,"False",-1,500,1,"False",-1,4500,"Less than $20,000","Not at all","Not at all","Somewhat","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","Max","56c3072fc51218000c97bf1d","Caucasian","605a97ae429c79b2903f4776","605990fadf3c32e5e48028c8","{'attCheckEnd': 194928, 'consentEnd': 25233, 'demographicsEnd': 238090, 'introEnd': 45716, 'study0End': 148225, 'study1End': 161985, 'study2End': 178324, 'studyEnd': 188715}","post",194928,25233,238090,45716,148225,161985,178324,188715,"They were fine.","Max",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.333333333333333,1,0,2000,2000,0,3000,3000,0,1000,1000,0,1500,1500,0,3500,3500,0,1500,1500,0,500,500,0,1000,1000,0,500,500,0,4500,4500,0,3000,3000,0,1500,1500,0,500,500,0,1000,1000,0,2000,2000,0,1000,1000,0,4500,4500,0,3500,3500,0,500,500,0,1500,1500,1900,1900,0,1,0,1,0,0,0,0.333333333333333,46
"6",7,1980,"Slightly","Slightly","Slightly","Somewhat","Not at all","Slightly","Extremely","Yes","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","No","High school or lower","Male",6,"False",-1,100,2,"False",-1,100,7,"False",-1,100,1,"False",-1,200,8,"False",-1,300,4,"False",-1,100,10,"False",-1,100,9,"False",-1,200,3,"False",-1,100,5,"False",-1,300,"$20,000-$39,999","Not at all","Not at all","Moderately","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat conservative","No","Mean","56e6a66af6ed900006a5867c","Caucasian","605ac19f9214b83c5af6ef93","605990fadf3c32e5e48028c8","{'attCheckEnd': 191755, 'consentEnd': 9256, 'demographicsEnd': 257556, 'introEnd': 38463, 'study0End': 64363, 'study1End': 77132, 'study2End': 92763, 'studyEnd': 176737}","pre",191755,9256,257556,38463,64363,77132,92763,176737,"I thought they were all beautiful paintings. I didn't believe they were created by AI and was wondering if the study was bluffing. I rated them all low in value because if an AI can create them it lowers the value to me. Eventually AI would be able to churn out endless numbers of paintings which means their value would low.","Pre",1,1,1,2,0,1,4,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0.666666666666667,2,0,100,100,0,100,100,0,100,100,0,200,200,0,300,300,0,100,100,0,100,100,0,200,200,0,100,100,0,300,300,0,300,300,0,100,100,0,100,100,0,100,100,0,300,300,0,100,100,0,200,200,0,200,200,0,100,100,0,100,100,160,160,0,0,1,3,3,0,0,1.16666666666667,41
"7",8,1971,"Slightly","Not at all","Slightly","Somewhat","Not at all","Not at all","Slightly","No","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","No","High school or lower","Female",4,"False",-1,2800,9,"True",3200,4900,3,"True",2200,3500,7,"False",2200,2000,8,"True",4000,5000,2,"False",4000,4900,5,"True",5400,4700,10,"True",5500,6300,6,"False",5500,4900,1,"True",5800,4300,"$60,000-$79,999","Slightly","Slightly","Moderately","Somewhat","Slightly","Not at all","Not at all","Not at all","Slightly","Slightly","Slightly","Not at all","Somewhat","Somewhat liberal","No","Max","5720a9f6fd3a5200113c1891","Caucasian","605a95b7bb45f45e096f03eb","605990fadf3c32e5e48028c8","{'attCheckEnd': 278156, 'consentEnd': 22150, 'demographicsEnd': 318226, 'introEnd': 42877, 'study0End': 209542, 'study1End': 230620, 'study2End': 247956, 'studyEnd': 262970}","post",278156,22150,318226,42877,209542,230620,247956,262970,"No specific thoughts about it.","Max",1,0,1,2,0,0,1,0,0,1,1,1,0,2,1,1,3,2,1,0,0.666666666666667,0.5,1.33333333333333,1.5,0,2800,2800,1700,3200,4900,1300,2200,3500,0,2000,2000,1000,4000,5000,0,4900,4900,-700,5400,4700,800,5500,6300,0,4900,4900,-1500,5800,4300,1000,4000,5000,800,5500,6300,1300,2200,3500,0,2800,2800,-700,5400,4700,0,4900,4900,-1500,5800,4300,1700,3200,4900,0,2000,2000,0,4900,4900,4070,4330,260,1,2,2,2,1,2,1.66666666666667,50
"8",10,1981,"Slightly","Slightly","Not at all","Slightly","Not at all","Not at all","Moderately","Yes","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","No","Bachelor's degree or lower","Female",1,"False",-1,100,8,"False",-1,400,2,"False",-1,100,7,"False",-1,500,6,"False",-1,800,10,"False",-1,900,3,"False",-1,500,4,"False",-1,1100,5,"False",-1,1200,9,"False",-1,1000,"Prefer not to respond","Slightly","Not at all","Somewhat","Slightly","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat liberal","No","Mean","57587b29713d8400061730e4","Asian","605a97aab635521a924c9b57","605990fadf3c32e5e48028c8","{'attCheckEnd': 298850, 'consentEnd': 7514, 'demographicsEnd': 363503, 'introEnd': 54229, 'study0End': 221608, 'study1End': 248419, 'study2End': 269992, 'studyEnd': 288140}","post",298850,7514,363503,54229,221608,248419,269992,288140,"They were good images. ","Median",1,1,0,1,0,0,3,0,0,0,0,0,0,1,1,0,2,1,1,0,0.5,0,0.833333333333333,2,0,100,100,0,400,400,0,100,100,0,500,500,0,800,800,0,900,900,0,500,500,0,1100,1100,0,1200,1200,0,1000,1000,0,400,400,0,900,900,0,500,500,0,1100,1100,0,1200,1200,0,800,800,0,100,100,0,1000,1000,0,500,500,0,100,100,660,660,0,1,1,2,3,1,0,1.33333333333333,40
"9",11,1990,"Slightly","Slightly","Not at all","Slightly","Not at all","Slightly","Slightly","Yes","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Yes","Graduate degree","Male",9,"False",-1,6300,6,"True",4500,3200,4,"False",4500,3400,7,"False",4500,6900,10,"False",4500,8500,3,"True",1800,1800,1,"False",1800,9300,8,"True",8100,5400,2,"False",8100,3700,5,"True",6100,1900,"$100,000-$150,000","Not at all","Not at all","Slightly","Slightly","Not at all","Slightly","Not at all","Not at all","Not at all","Slightly","Not at all","Not at all","Slightly","Moderate","No","Mean","57950da04a84da00014c5dbb","Asian","605ab85eb67ba011de02ca4f","605990fadf3c32e5e48028c8","{'attCheckEnd': 164373, 'consentEnd': 10392, 'demographicsEnd': 206906, 'introEnd': 21578, 'study0End': 38811, 'study1End': 51817, 'study2End': 68418, 'studyEnd': 156563}","pre",164373,10392,206906,21578,38811,51817,68418,156563,"they were very convincing.","Pre",1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0.666666666666667,0.166666666666667,0.5,1,0,6300,6300,-1300,4500,3200,0,3400,3400,0,6900,6900,0,8500,8500,0,1800,1800,0,9300,9300,-2700,8100,5400,0,3700,3700,-4200,6100,1900,-2700,8100,5400,0,8500,8500,0,1800,1800,0,3400,3400,-4200,6100,1900,-1300,4500,3200,0,9300,9300,0,6300,6300,0,6900,6900,0,3700,3700,5860,5040,-820,2,2,2,3,2,2,2.16666666666667,31
"10",13,1974,"Slightly","Slightly","Not at all","Slightly","Not at all","Slightly","Somewhat","No","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","No","Some college","Female",1,"True",800,2900,8,"True",2200,4800,5,"True",5300,3700,9,"True",3300,4200,7,"True",2800,5500,10,"True",3100,5900,6,"True",3700,5000,4,"True",6100,4000,3,"True",3400,5000,2,"False",3400,5200,"Less than $20,000","Not at all","Not at all","Somewhat","Not at all","Somewhat","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","Max","58295846e41098000132a1f9","Caucasian","6059be7f01c2b9e78feefd73","605990fadf3c32e5e48028c8","{'attCheckEnd': 552609, 'consentEnd': 39450, 'demographicsEnd': 635850, 'introEnd': 90357, 'study0End': 401551, 'study1End': 427106, 'study2End': 487863, 'studyEnd': 509254}","post",552609,39450,635850,90357,401551,427106,487863,509254,"Decent artwork but I don't think any were particularly super.","Max",1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0.666666666666667,0,0.833333333333333,1,2100,800,2900,2600,2200,4800,-1600,5300,3700,900,3300,4200,2700,2800,5500,2800,3100,5900,1300,3700,5000,-2100,6100,4000,1600,3400,5000,0,5200,5200,2600,2200,4800,2800,3100,5900,1600,3400,5000,-2100,6100,4000,-1600,5300,3700,1300,3700,5000,2100,800,2900,900,3300,4200,2700,2800,5500,0,5200,5200,3590,4620,1030,1,2,3,3,1,2,2,47
